Target,z_l,z_s,veldisp,veldisp_err,Reff_arcsec,theta_Ein
SDSSJ0143-1006,0.221,1.1046,203,17,3.24,1.23
SDSSJ0159-0006,0.1584,0.7477,216,18,1.58,0.92
SDSSJ0324+0045,0.321,0.9199,183,19,1.67,0.55
SDSSJ0324-0110,0.4456,0.6239,310,38,2.23,0.63
SDSSJ0753+3416,0.1371,0.9628,208,12,1.89,1.23
SDSSJ0754+1927,0.1534,0.7401,193,16,1.46,1.04
SDSSJ0757+1956,0.1206,0.8326,206,11,3.67,1.62
SDSSJ0826+5630,0.1318,1.2907,163,8,1.64,1.01
SDSSJ0847+2348,0.1551,0.5327,199,16,1.54,0.96
SDSSJ0851+0505,0.1276,0.6371,175,11,1.35,0.91
SDSSJ0920+3028,0.2881,0.3918,297,17,4.25,0.7
SDSSJ0955+3014,0.3214,0.4671,271,33,2.95,0.54
SDSSJ0956+5539,0.1959,0.8483,188,11,1.96,1.17
SDSSJ1010+3124,0.1668,0.4245,221,11,3.26,1.14
SDSSJ1031+3026,0.1671,0.7469,197,13,1.04,0.88
SDSSJ1040+3626,0.1225,0.2846,186,10,1.3,0.59
SDSSJ1041+0112,0.1006,0.2172,200,7,2.5,0.6
SDSSJ1048+1313,0.133,0.6679,195,10,1.9,1.18
SDSSJ1051+4439,0.1634,0.538,216,16,1.66,0.99
SDSSJ1056+4141,0.1343,0.8318,157,10,1.81,0.72
SDSSJ1101+1523,0.178,0.5169,270,15,0.89,1.18
SDSSJ1116+0729,0.1697,0.686,190,11,2.44,0.82
SDSSJ1127+2312,0.1303,0.361,230,9,2.69,1.25
SDSSJ1137+1818,0.1241,0.4627,222,8,1.79,1.29
SDSSJ1142+2509,0.164,0.6595,159,10,1.51,0.79
SDSSJ1144+0436,0.1036,0.2551,207,14,1.22,0.76
SDSSJ1213+2930,0.0906,0.5954,232,7,1.73,1.35
SDSSJ1301+0834,0.0902,0.5331,178,8,1.25,1.0
SDSSJ1330+1750,0.2074,0.3717,250,12,2.85,1.01
SDSSJ1403+3309,0.0625,0.772,190,6,2.0,1.02
SDSSJ1430+6104,0.1688,0.6537,180,15,2.24,1.0
SDSSJ1433+2835,0.0912,0.4115,230,6,3.23,1.53
SDSSJ1541+3642,0.1406,0.7389,194,11,1.55,1.17
SDSSJ1543+2202,0.2681,0.3966,285,16,2.32,0.78
SDSSJ1550+2020,0.1351,0.3501,243,9,1.68,1.01
SDSSJ1553+3004,0.1604,0.5663,194,15,2.15,0.84
SDSSJ1607+2147,0.2089,0.4865,197,16,2.63,0.57
SDSSJ1633+1441,0.1281,0.5804,231,9,2.39,1.39
SDSSJ2309-0039,0.2905,1.0048,184,13,2.08,1.14
SDSSJ2324+0105,0.1899,0.2775,245,15,1.1,0.59
